# Kentucky HB 523 Pastors' Statement — Abolish Abortion Kentucky
# https://abolishabortionky.org/press-room  — captured 2026-08-06.
#
# 128 pastors across Kentucky signed in support of HOUSE BILL 523, the Abolition of Abortion in
# Kentucky Act, introduced by Reps. Richard White and Josh Calloway. The bill teaches that life
# begins at fertilisation and that equal protection begins then — equal protection for the born and
# the unborn. Statement: "Whether a baby is inside the womb or outside the womb, the place that it
# resides does not change the fact that it is a life."
#
# Context: the Kentucky Baptist Convention adopted a 2024 resolution exhorting officials to "take all
# necessary steps to legally abolish abortion and establish equal justice and protection for the
# preborn in the Commonwealth." More than 300 KY pastors met at the Creation Museum for an End
# Abortion Now presentation on the legislation.
#
# Format: pastor|church|city|state
James Hardin|Scaffold Cane Baptist Church|Mt. Vernon|KY
Ragon Grimes|Second Baptist Church|Princeton|KY
Andrew Stewart|Sexton Fork Baptist Church|Burkesville|KY
Gregory Stinnett|Sharpe Missionary Baptist Church|Benton|KY
Shawn Ward|Sidney Missionary Baptist Church|Sidney|KY
Zach Hill|Silver City Church|Mt Sterling|KY
Rusty Hedrick|Slaty Point Baptist Church|Morehead|KY
Peter Phillips|Smithfield Baptist Church|Smithfield|KY
Cameron Graves|Smyrna Missionary Baptist Church|Louisville|KY
Israel Douglas|Smyrna Missionary Baptist Church|Louisville|KY
Bryson Amyx|Sola Church|Richmond|KY
Stephen McDaniel|Sola Church|Richmond|KY
Tracey Royalty|Sovereign Grace Church|Lawrenceburg|KY
TJ Wilder|Sovereign Grace Church|Lawrenceburg|KY
Joseph Spurgeon|Sovereign King Church|Clarksville|IN
Joshua Hastings|Sovereign Way Reformed Church|West Liberty|KY
David Sims|St. James Church|Louisville|KY
Zack Paul|Suthards Baptist Church|Dawson Springs|KY
Andy Lawrence|The Point Community Church|Frankfort|KY
Kyle Reeder|The Solid Rock Baptist Church|Benton|KY
Benjamin Sanders|Torch Community Church|Florence|KY
Bryan Carnes|Torch Community Church|Florence|KY
Joseph Lacy|Trinity Christian Fellowship|Morehead|KY
Matthew Fowler|Union Missionary Baptist Church|Marion|KY
Travis Vaughn|Unity Missionary Baptist Church|Louisville|KY
Reginald Hall|Victory Baptist Church|Leburn|KY
Caleb Davis|Watts Chapel Baptist Church|Crab Orchard|KY
Dwayne Bryan|Westwood Free Will Baptist Church|Ashland|KY
Jarrod Sutton|White Oak Missionary Baptist Church|Corbin|KY
Brad Henson|Woodlawn Church|Paducah|KY
