« Third-party postmillennial church directory, captured 2026-07-30 from
« postmillennialworldview.com/postmill-churches/ — US entries only.
« Independent, CHURCH-LEVEL corroboration of the postmill marker, as opposed to
« inferring it from denominational membership. Format: name|city|state|pastor(s)
Grace Covenant Reformed Church|Clovis|NM|Ryan Denton
Immanuel Baptist Church|Tucumcari|NM|Gordan Runyan
Fellowship Baptist Church|Brooklyn|NY|Robert Rubino
The Kings Chapel|Brooklyn|NY|Troy Greene
Grace Bible Fellowship|Canastota|NY|Mark Wilson
Christ Covenant Church|Copiague|NY|Brian L. Penney
East Syracuse House Church|East Syracuse|NY|John Giordano
Hope Reformed Baptist Church|Medford|NY|Richard Jenson
Christ is King Baptist Church|Syracuse|NY|Jon Speed
Holy Trinity Reformed Church|Concord|NC|Brian Phillips
First Reformed Presbyterian Church of Durham|Durham|NC|Kent Butterfield
Kings Park International Church|Durham|NC|Ron Lewis
Christ Reformed Fellowship|Garner|NC|Ken Cheeseman
Covenant Reformed Presbyterian Church|Graham|NC|John M. Otis
Mint Hill Presbyterian Church|Mint Hill|NC|Aaron Opgenorth
Catherine Lake Baptist Church|Richlands|NC|Brian Mann
Trinity Chapel Charlotte|Weddington|NC|Keith Ginn
Christ the King Reformed Episcopal Church|Dayton|OH|Wayne McNamara
Two Rivers Community Church|Dayton|OH|Mac Williams
Sovereign Christ Church|Mansfield|OH|Clint Zeigler
Trinity Reformed Episcopal Church|Mason|OH|Matthew Joyner
Knox Presbyterian Church|Mt. Vernon|OH|
Trinity Baptist Church|Chickasha|OK|William E. Elkins Jr.
Christ the King Presbyterian Church|Norman|OK|Mike Biggs
Ebenezer Christian Center|Tulsa|OK|Daviel DPaz
Christ The King Church|Coburg|OR|John Dekker
Myrtle Creek Church of the Nazarene|Myrtle Creek|OR|Guy Cooksey
Reformation Covenant Church|Oregon City|OR|Bo Cogbill
Christ Covenant Church|Rogue River|OR|Kenny Anderson
Laurel Highlands Presbyterian Church|Bovard|PA|Ardian Armel
All Saints Church|Brownstown|PA|Gregg Strawbridge
St. Johns Reformed Church|Friedensburg|PA|Matt Kenitzer
Independence Reformed Bible Church|Morgantown|PA|Joel Saint
Immanuel Free Reformed Church|Stevens|PA|William O. Einwechter
Holly Ridge Presbyterian Church|Blacksburg|SC|Michael Lee Ware
Reedy River Presbyterian Church|Conestee|SC|Charles Roberts
Foothills Christian Assembly|Edgefield|SC|Matthew Clark
Christ the King Church|Greenville|SC|Michael Hansen
Holy Trinity Reformed Evangelical Church|Greer|SC|Eddy Field
Woodruff Road Presbyterian Church|Simpsonville|SC|Carl Robbins
Greenville Presbyterian Church|Taylors|SC|Robert McCurley
Brainerd Hills Presbyterian Church|Chattanooga|TN|Gary Roop
Columbia Bible Assembly|Columbia|TN|Perry Coghlan; Dan Eby
Christ Presbyterian Church|Knoxville|TN|Michael Pasarilla
St. Paul Presbyterian Church|Knoxville|TN|David A. Queener
Christ the King PCA|Louisville|TN|Nate Xanders
Maynardville Fellowship Baptist Church|Maynardville|TN|Matthew Cooke
Christ Reformed Presbyterian Mission|Paris|TN|Paul McDade
Covenant Reformed Baptist Church|Tullahoma|TN|
Christ Covenant Church|Alvin|TX|Russell Traweek
Church on the Square|Georgetown|TX|Bradley Helgerson
Covenant Bible Church|Georgetown|TX|Joel Webbon
Saint Davids Church of Hockley|Hockley|TX|Adam McIntosh
Church of the King|McAllen|TX|Ron Smith
Grace Covenant Baptist Church|McKinney|TX|Phil George
Grace Covenant Presbyterian Church|Nacogdoches|TX|Randy Booth
Heritage Presbyterian Church|New Braunfels|TX|Car Miller
Grace Life Church of Dallas|Plano|TX|Phil George
Providence Presbyterian Church|Sugar Land|TX|Alan McCall
Christ Fellowship Church|Taylor|TX|Jeff Ripple
Fifth Street Presbyterian|Tyler|TX|Steve Simmons
Christ Covenant Reformed Presbyterian Church|Wylie|TX|Todd Ruddell
Refuge Church|Ogden|UT|Brian Sauve
Reformed Bible Church in Central Virginia|Appomattox|VA|Paul Michael Raymond
Grace Reformed Presbyterian Church|Dublin|VA|Jerry Johnson
Calvary Reformed Presbyterian Church|Hampton|VA|Jeff Ferguson; Byron Snapp; Pete Hurst
Grace Orthodox Presbyterian Church|Lynchburg|VA|Pete Stazen
Providence Church|Lynchburg|VA|Virgil Hurt
Reformed Presbyterian Church|Manassas|VA|William Allen Church
Sterling Presbyterian Church|Sterling|VA|
Warm Springs Presbyterian Church|Warm Springs|VA|Marty Fields
Providence Reformed Presbyterian Church|Wytheville|VA|Jeff Black
Trinity Presbyterian Church|Tazewell|VA|Henry Johnson
Christ Covenant Church|Centralia|WA|
Holy Trinity Church|Colville|WA|Ed Iverson
Trinity Church|Kirkland|WA|Dave Hatcher
Trinitas Presbyterian|Mills Creek|WA|Brant Bosserman
Christ Church Spokane|Spokane|WA|Kenton Spratt
Evangelical Reformed Church|Tacoma|WA|Rich Hamlin
Westminster Presbyterian Church|Vancouver|WA|Jerid Krulish
Trinity Reformed Church|Martinsburg|WV|Lucas Dorminy
Reformation Hope Church|Brookfield|WI|Wayne C. Sedlak
Jubilee Christian Family Church|Franklin|WI|Wayne Rohde
Mercy Seat Christian Church|Hartland|WI|Matthew Trewhella
Reformation Hope Church|Jackson|WI|Wayne C. Sedlak
Reformation Presbyterian Church|Sheboygan|WI|Chris Moulton
Trinity Presbyterian Church|Waukesha|WI|Jeffrey Pennington
